Action,Time,ISIN,Ticker,Name,No. of shares,Price / share,Currency (Price / share),Exchange rate,Total,Currency (Total),Withholding tax,Currency (Withholding tax)
Dividend (Dividend),16/01/2024 14:23,US92936U1097,WPC,WP Carey,2.5,0.73,USD,Not available,1.44,GBP,0.32,USD
Dividend (Dividend),18/01/2024 10:37,US01609W1027,BABA,Alibaba,5.0,1.0,USD,Not available,3.94,GBP,0.0,USD
Dividend (Dividend),09/02/2024 11:08,US57636Q1040,MA,Mastercard,0.1,0.56,USD,Not available,0.04,GBP,0.01,USD
Dividend (Dividend),14/02/2024 12:47,NL0010273215,ASML,ASML,0.5,1.23,EUR,Not available,0.52,GBP,0.11,EUR
Dividend (Dividend),15/02/2024 12:15,IE00B4BNMY34,ACN,Accenture,0.01,0.97,USD,Not available,0.01,GBP,0.0,USD
Dividend (Dividend),15/02/2024 12:29,US0378331005,AAPL,Apple,1.0,0.2,USD,Not available,0.16,GBP,0.04,USD
Dividend (Dividend),15/02/2024 12:37,FR0000052292,RMS,Hermes International,0.07,2.63,EUR,Not available,0.16,GBP,0.06,EUR
Dividend (Dividend),23/02/2024 13:27,GB0003718474,GAW,Games Workshop,3.0,120.0,GBX,Not available,3.6,GBP,0.0,GBX
Dividend (Dividend),12/03/2024 09:42,US78409V1044,SPGI,S&P Global,0.5,0.77,USD,Not available,0.3,GBP,0.07,USD
Dividend (Dividend),14/03/2024 10:15,US5949181045,MSFT,Microsoft,0.6,0.64,USD,Not available,0.3,GBP,0.07,USD
Dividend (Dividend),15/03/2024 15:39,GG00BPFJTF46,PSH,Pershing Square,1.0,11.43,GBX,Not available,0.11,GBP,0.0,GBX
Dividend (Dividend),21/03/2024 13:47,US7475251036,QCOM,Qualcomm,1.0,0.68,USD,Not available,0.53,GBP,0.12,USD
Dividend (Dividend),27/03/2024 12:05,IE00B3XXRP09,VUSA,Vanguard S&P 500 (Dist),5.0,0.24,GBP,Not available,1.2,GBP,0.0,GBP
Dividend (Dividend),28/03/2024 14:31,US74144T1088,TROW,T Rowe Price,1.0,1.05,USD,Not available,0.83,GBP,0.19,USD
Dividend (Dividend),04/04/2024 11:09,US9256521090,VICI,VICI Properties,16.0,0.35,USD,Not available,4.46,GBP,1.0,USD
Dividend (Dividend),25/04/2024 08:45,GB0005405286,HSBA,HSBC,30.0,24.83,GBX,Not available,7.45,GBP,0.0,GBX
Dividend (Dividend),30/04/2024 12:08,IE00BYXVWC37,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),10.0,0.05,GBP,Not available,0.53,GBP,0.0,GBP
Dividend (Dividend),30/04/2024 12:14,IE00B2NPKV68,SEMB,iShares J.P. Morgan USD EM Bond (Dist),1.0,35.2,GBX,Not available,0.35,GBP,0.0,GBX
Dividend (Dividend),03/05/2024 14:42,NL0011585146,RACE,Ferrari,0.3,1.53,USD,Not available,0.37,GBP,0.32,USD
Dividend (Dividend),06/05/2024 10:42,FR0000052292,RMS,Hermes International,0.07,8.63,EUR,Not available,0.52,GBP,0.2,EUR
Dividend (Dividend),06/05/2024 10:44,FR0000052292,RMS,Hermes International,0.07,7.5,EUR,Not available,0.45,GBP,0.18,EUR
Dividend (Dividend),07/05/2024 11:05,NL0010273215,ASML,ASML,0.5,1.49,EUR,Not available,0.64,GBP,0.13,EUR
Dividend (Dividend),2024-12-20 13:26:07,GB0007980591,BP,BP,375.0,6.3,GBX,Not available,23.61,GBP,0.0,GBX
Dividend (Dividend),2024-09-26 09:14:10,US7475251036,QCOM,Qualcomm,1.0,0.72,USD,Not available,0.54,GBP,0.13,USD
Dividend (Dividend),2024-09-27 12:49:14,GB0005405286,HSBA,HSBC,60.0,7.58,GBX,Not available,4.55,GBP,0.0,GBX
Dividend (Dividend),2024-11-08 11:22:41,IE00BM8R0J59,QYLP,Global X Nasdaq 100 Covered Call,80.0,0.13,GBP,Not available,10.53,GBP,0.0,GBP
Dividend (Dividend),2024-11-08 11:25:28,US57636Q1040,MA,Mastercard,2.0,0.56,USD,Not available,0.86,GBP,0.2,USD
Dividend (Dividend),2024-10-30 10:27:56,IE00B2NPKV68,SEMB,iShares J.P. Morgan USD EM Bond (Dist),15.0,21.93,GBX,Not available,3.29,GBP,-0.0,GBX
Dividend (Dividend),2024-10-31 09:57:37,IE00BYXVWC37,STHS,PIMCO US Short-Term High Yield Corporate Bond Index (Dist),115.0,0.06,GBP,Not available,6.78,GBP,0.0,GBP
Dividend (Dividend),2024-09-02 10:37:47,CA29250N1050,ENB,Enbridge,1.0,0.58,USD,Not available,0.44,GBP,0.1,USD
Dividend (Dividend),2024-09-06 11:45:53,IE00BM8R0J59,QYLP,Global X Nasdaq 100 Covered Call,82.0,0.13,GBP,Not available,10.38,GBP,-0.0,GBP
Dividend (Dividend),2024-08-07 08:25:22,NL0010273215,ASML,ASML,0.5,1.29,EUR,Not available,0.55,GBP,0.11,EUR
Dividend (Dividend),2024-07-11 11:33:56,GB00BLDYK618,SMT,Scottish Mortgage Investment Trust,40.0,2.64,GBX,Not available,1.06,GBP,0.0,GBX
Dividend (Dividend),2024-07-12 11:42:23,US01609W1027,BABA,Alibaba,8.0,1.0,USD,Not available,6.2,GBP,0.0,USD
Dividend (Dividend),2024-07-12 11:49:53,US01609W1027,BABA,Alibaba,8.0,0.66,USD,Not available,4.09,GBP,0.0,USD
Dividend (Dividend),2024-07-25 12:20:56,US79466L3024,CRM,Salesforce,5.0,0.34,USD,Not available,1.32,GBP,0.3,USD
Dividend (Dividend),2024-10-03 09:59:24,US9256521090,VICI,VICI Properties,30.0,0.37,USD,Not available,8.33,GBP,1.95,USD
Dividend (Ordinary),2020-06-19 06:45:20,US75513E1010,RTX,RTX Corp,1.0,0.4,USD,Not available,0.32,GBP,0.08,USD
Dividend (Ordinary),2020-06-24 12:52:44,GB00B03MM408,RDSB,Shell,5.0,12.68,GBX,Not available,0.63,GBP,0.0,GBX
Dividend (Ordinary),2020-06-29 12:29:51,US7475251036,QCOM,Qualcomm,1.0,0.55,USD,Not available,0.45,GBP,0.1,USD
Dividend (Ordinary),2020-07-01 08:54:56,GB0004544929,IMB,Imperial Brands,3.0,20.85,GBX,Not available,0.63,GBP,0.0,GBX
Dividend (Ordinary),2020-07-21 11:07:35,NL0000852564,AALB,Aalberts,2.0,0.68,EUR,Not available,1.22,GBP,0.24,EUR
Dividend (Ordinary),2020-08-07 07:39:23,GB00BYT1DJ19,ICG,Intermediate Capital Group,2.0,35.8,GBX,Not available,0.72,GBP,0.0,GBX
Dividend (Ordinary),2020-09-15 08:05:21,GB00BLJNXL82,BKG,Berkeley Group,2.0,107.0,GBX,Not available,2.14,GBP,0.0,GBX
Dividend (Ordinary),2020-09-23 09:39:36,GB00B03MM408,RDSB,Shell,12.0,12.09,GBX,Not available,1.45,GBP,0.0,GBX
Dividend (Ordinary),2020-09-25 09:16:43,US7475251036,QCOM,Qualcomm,1.0,0.55,USD,Not available,0.43,GBP,0.1,USD
Dividend (Ordinary),2020-09-29 08:28:50,GB0007099541,PRU,Prudential,6.0,4.17,GBX,Not available,0.25,GBP,0.0,GBX
Dividend (Ordinary),2020-10-05 08:32:12,GB0004544929,IMB,Imperial Brands,6.0,20.85,GBX,Not available,1.25,GBP,0.0,GBX
Dividend (Ordinary),2020-10-07 12:20:34,DE0007664039,VOW3,Volkswagen  (Preferred),1.0,3.58,EUR,Not available,3.27,GBP,1.28,EUR
Dividend (Ordinary),2020-10-16 08:05:54,GB0002374006,DGE,Diageo,2.0,42.47,GBX,Not available,0.85,GBP,0.0,GBX
Dividend (Property income),2020-10-28 12:56:01,GB0002652740,DLN,Derwent London,2.0,22.0,GBX,Not available,0.44,GBP,0.0,GBX
